source,target,value
"China, mainland",Dominican Republic,29802.0
"China, mainland",Ecuador,26799.0
"China, mainland",Egypt,134517.0
"China, mainland",El Salvador,8342.0
"China, mainland",Equatorial Guinea,591.0
"China, mainland",Eritrea,24.0
"China, mainland",Estonia,14883.0
"China, mainland",Eswatini,326.0
"China, mainland",Ethiopia,11923.0
"China, mainland",Fiji,11975.0
"China, mainland",Finland,25295.0
"China, mainland",France,310736.0
"China, mainland",French Polynesia,1782.0
"China, mainland",Gabon,3159.0
"China, mainland",Gambia,20227.0
"China, mainland",Georgia,25644.0
"China, mainland",Germany,1372910.0
"China, mainland",Ghana,191043.0
"China, mainland",Gibraltar,21.0
"China, mainland",Greece,44766.0
"China, mainland",Grenada,34.0
"China, mainland",Guatemala,27640.0
"China, mainland",Guinea,33963.0
"China, mainland",Guinea-Bissau,364.0
"China, mainland",Guyana,5114.0
"China, mainland",Haiti,28189.0
"China, mainland",Honduras,11060.0
"China, mainland",Hungary,14174.0
"China, mainland",Iceland,529.0
"China, mainland",India,567857.0
"China, mainland",Indonesia,1843674.0
"China, mainland",Iran (Islamic Republic of),296624.0
"China, mainland",Iraq,117994.0
"China, mainland",Ireland,37720.0
"China, mainland",Israel,120302.0
"China, mainland",Italy,401000.0
"China, mainland",Jamaica,6231.0
"China, mainland",Japan,5933614.0
"China, mainland",Jordan,48737.0
"China, mainland",Kazakhstan,198992.0
"China, mainland",Kenya,21924.0
"China, mainland",Kiribati,2296.0
"China, mainland",Kuwait,34485.0
"China, mainland",Kyrgyzstan,100721.0
"China, mainland",Lao People's Democratic Republic,25007.0
"China, mainland",Latvia,16166.0
"China, mainland",Lebanon,62034.0
"China, mainland",Lesotho,2006.0
"China, mainland",Liberia,21392.0
"China, mainland",Libya,17854.0
"China, mainland",Lithuania,35074.0
"China, mainland",Luxembourg,186.0
"China, mainland",Madagascar,3686.0
"China, mainland",Malawi,5125.0
"China, mainland",Malaysia,1811684.0
"China, mainland",Maldives,4622.0
"China, mainland",Mali,31933.0
"China, mainland",Malta,3114.0
"China, mainland",Marshall Islands,479.0
"China, mainland",Mauritania,67081.0
"China, mainland",Mauritius,19223.0
"China, mainland",Mexico,195160.0
"China, mainland",Micronesia (Federated States of),1285.0
"China, mainland",Mongolia,94762.0
"China, mainland",Montenegro,3536.0
"China, mainland",Morocco,259805.0
"China, mainland",Mozambique,15503.0
"China, mainland",Myanmar,377645.0
"China, mainland",Namibia,12108.0
"China, mainland",Nauru,39.0
"China, mainland",Nepal,72293.0
"China, mainland",Netherlands,1100434.0
"China, mainland",New Caledonia,1078.0
"China, mainland",New Zealand,123223.0
"China, mainland",Nicaragua,5641.0
"China, mainland",Niger,16266.0
"China, mainland",Nigeria,160922.0
"China, mainland",North Macedonia,1797.0
"China, mainland",Norway,41127.0
"China, mainland",Oman,22206.0
"China, mainland",Pakistan,318163.0
"China, mainland",Palau,796.0
"China, mainland",Palestine,3115.0
"China, mainland",Panama,65035.0
"China, mainland",Papua New Guinea,24629.0
"China, mainland",Paraguay,12238.0
"China, mainland",Peru,61244.0
"China, mainland",Philippines,1266371.0
"China, mainland",Poland,168446.0
"China, mainland",Portugal,34346.0
"China, mainland",Qatar,17991.0
"China, mainland",Republic of Korea,2761213.0
"China, mainland",Republic of Moldova,961.0
"China, mainland",Romania,109556.0
"China, mainland",Russian Federation,1326907.0
"China, mainland",Rwanda,78.0
"China, mainland",Saint Lucia,14.0
"China, mainland",Saint Vincent and the Grenadines,6.0
"China, mainland",Samoa,1657.0
"China, mainland",Sao Tome and Principe,128.0
"China, mainland",Saudi Arabia,270745.0
"China, mainland",Senegal,116492.0
"China, mainland",Serbia,4349.0
"China, mainland",Seychelles,3346.0
"China, mainland",Sierra Leone,12338.0
"China, mainland",Singapore,564361.0
"China, mainland",Slovakia,5203.0
"China, mainland",Slovenia,21483.0
"China, mainland",Solomon Islands,5795.0
"China, mainland",Somalia,3226.0
"China, mainland",South Africa,184828.0
"China, mainland",South Sudan,2148.0
"China, mainland",Spain,464567.0
"China, mainland",Sri Lanka,106046.0
"China, mainland",Sudan,40522.0
"China, mainland",Suriname,4134.0
