,year,CTY_CODE,CTYNAME,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
38,2013,4,"World, Seasonally Adjusted",189945.0,190998.0,182486.5325,187336.1562,191084.485,185097.8895,0.0,0.0,0.0,0.0,0.0,0.0,1126948.063,129441.0,130520.0,128318.2648,130044.4722,129053.6616,133312.4874,0.0,0.0,0.0,0.0,0.0,0.0,780689.8859999999
45,2007,5,NAFTA with Mexico (Consump),9158.1,9664.0,11514.9,9983.9,11452.5,11171.6,10788.5,12577.4,11370.8,12420.0,13430.8,10540.0,134072.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2008,5,NAFTA with Mexico (Consump),10878.6,10976.1,11853.1,12213.0,13089.2,12142.0,12606.0,12729.3,11501.5,13504.6,10105.5,8917.1,140516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2009,5,NAFTA with Mexico (Consump),7599.3959939999995,7520.627675,8214.71581,8610.134001,7907.5665340000005,7771.92172,8567.661927,9190.18872,10035.26784,10835.20065,10591.84748,10712.87185,107557.4002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2010,5,NAFTA with Mexico (Consump),9661.3,9913.5,12457.8,11640.2,12018.0,12037.9,11008.2,12128.3,12212.0,13182.6,12444.0,12001.3,140705.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2011,5,NAFTA with Mexico (Consump),12292.4,11733.9,14536.763,13397.9,13742.6,14184.4,13454.5,14362.3,14101.4,14061.5,14461.7,13488.0,163817.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2012,5,NAFTA with Mexico (Consump),12563.9,13541.2,15095.8,13524.7,14930.72402,14199.350859999999,13745.351030000002,14599.81179,13448.807680000002,15153.69651,15027.942140000001,12759.41375,168590.6978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2013,5,NAFTA with Mexico (Consump),12260.6061,13167.72932,14082.05154,13984.5673,14930.4596,14243.20911,0.0,0.0,0.0,0.0,0.0,0.0,82668.62297000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2007,6,NAFTA with Canada (Consump),12228.5,11803.1,14439.7,13023.9,13417.4,14132.4,11311.9,13611.0,13269.3,14893.6,14407.0,12446.5,158984.3,5736.3,6229.2,7663.3,7440.1,7951.0,7866.1,6458.2,7497.3,7527.8,8144.3,7922.0,6901.6,87337.2
59,2008,6,NAFTA with Canada (Consump),13001.4,13647.6,14324.2,15217.2,14839.8,15240.0,14838.1,15388.3,15158.0,13897.7,11194.8,9329.6,166076.7,6577.4,7236.0,7795.4,7973.5,8479.3,8513.6,7707.5,7788.5,7636.8,7699.7,6341.0,5487.1,89235.8
60,2009,6,NAFTA with Canada (Consump),7381.364276,7622.513201000001,8380.939387,8206.106192,7757.553537000001,9235.986121,9243.140043000001,10307.50927,10884.769559999999,11416.565279999999,10679.07036,11371.761859999999,112487.2791,4821.5,5035.8,5553.1,5507.4,5752.0,6090.7,5670.7,6612.9,6589.2,6807.6,6698.3,6571.4,71710.6
61,2010,6,NAFTA with Canada (Consump),10885.2,11254.9,12810.0,12629.9,13004.5,13396.9,10579.7,12193.4,12290.6,12204.4,11852.8,12323.4,145425.7,5892.1,6722.3,7744.0,7384.5,7447.8,7736.0,6645.0,7251.0,7305.4,7317.2,7000.6,6681.8,85127.7
62,2011,6,NAFTA with Canada (Consump),12813.7,11922.3,13938.236,13773.4,13811.9,13732.1,12414.3,13918.3,14125.7,13962.2,14190.0,14131.8,162733.936,6203.7,6532.7,8367.5348,7923.1,8147.2,8163.6,7507.5,8411.9,8006.9,8215.1,7520.6,7298.9,92298.7348
63,2012,6,NAFTA with Canada (Consump),14379.0,14368.7,15997.2,15101.1,15023.914490000001,14982.218,12546.74977,14697.69342,13986.15083,15145.3,15110.75636,13902.53566,175241.3185,6764.4,7690.5,8834.2,8455.1,8830.645667,9002.125345999999,7993.788437,8694.844754000002,7973.050826000001,8572.875505,8117.523481,7350.153331999999,98279.20735
64,2013,6,NAFTA with Canada (Consump),14713.00967,14215.936080000001,15041.755580000001,15643.74506,14715.83196,14433.64435,0.0,0.0,0.0,0.0,0.0,0.0,88763.92271,7271.043395999999,7271.043395999999,8855.752089,9130.838644,9274.149945000001,8908.995431,0.0,0.0,0.0,0.0,0.0,0.0,50711.8229
71,2007,7,Advance Technology Products,25367.0,23455.0,27343.0,25219.0,25358.0,27631.0,27121.0,27897.0,28072.0,31766.0,30024.0,27556.0,326809.0,20398.0,18755.0,23661.0,20165.0,21767.0,23443.0,21268.0,22567.0,22160.0,24041.0,22652.0,23998.0,264875.0
72,2008,7,Advance Technology Products,25706.0,25384.0,28038.0,28638.0,27821.0,28957.0,30366.0,28114.0,29354.0,29751.0,24807.0,24216.0,331152.0,21730.0,21373.0,23942.0,22865.0,23228.0,24220.0,22927.0,24077.0,21904.0,22242.0,20393.0,21230.0,270131.0
